raw_line,name_cn,name_en,aliases
- **中英文通用名**: 三氯杀虫酯 (Trichlorfon)，别名：灭蝇胺、迪克松,三氯杀虫酯,Trichlorfon,灭蝇胺、迪克松
- **中英文通用名**: 三氯杀螨砜 (Triforine)，别名：螨克、螨死净,三氯杀螨砜,Triforine,螨克、螨死净
- **中英文通用名**: 三氯杀螨醇 (Triflumuron)，别名：伏杀螨、螨克,三氯杀螨醇,Triflumuron,伏杀螨、螨克
- **中英文通用名**: 三环唑 (Tricyclazole)，别名：稻瘟灵,三环唑,Tricyclazole,稻瘟灵
"- **中英文通用名**: 三环锡 (Tributyltin oxide, TBT)",三环锡,Tributyltin oxide,TBT
- **中英文通用名**: 三甲苯草酮 (Trifloxysulfuron-sodium)，别名：农达、三氟磺草酮钠盐,三甲苯草酮,Trifloxysulfuron-sodium,农达、三氟磺草酮钠盐
"- **中英文通用名**: 三苯基乙酸锡 (英文名: Triphenyltin acetate, 常见别名: TPTA)",三苯基乙酸锡,英文名: Triphenyltin acetate,常见别名: TPTA
"- **中英文通用名**: 三苯基锡 (Tributyltin, TBT)",三苯基锡,Tributyltin,TBT
- **中英文通用名**: 丙嗪嘧磺隆 (Pyrasulfotole)，别名：无,丙嗪嘧磺隆,Pyrasulfotole,
"- **中英文通用名**: 丙森锌 (Mancozeb)，常见别名包括 Manzate, Dithane, Fore, Penncozeb",丙森锌,Mancozeb,Manzate、Dithane、Fore、Penncozeb
- **中英文通用名**: 丙氟菊酯 (Prallethrin)，别名：百灭宁,丙氟菊酯,Prallethrin,百灭宁
**中英文通用名**: 丙氧喹唑啉 (Proquinazid),丙氧喹唑啉,Proquinazid,
"- **中英文通用名**: 丙溴磷 (Profenofos)，常见别名有：Prothoate, Sumithion",丙溴磷,Profenofos,Prothoate、Sumithion
- **中英文通用名**: 丙炔噁草酮 (Oxyfluorfen)，别名：氟乐灵,丙炔噁草酮,Oxyfluorfen,氟乐灵
- **中英文通用名**: 丙炔氟草胺 (Flumioxazin)，别名：氟草胺,丙炔氟草胺,Flumioxazin,氟草胺
- **中英文通用名**: 丙烯菊酯(1R)-异构体 / Prallethrin (1R)-isomer，常见别名：丙烯菊酯,丙烯菊酯,1R,-异构体、Prallethrin (1R)-isomer
- **中英文通用名**: 丙环唑 (Propiconazole)，常见别名有 Tilt、Bayleton,丙环唑,Propiconazole,Tilt、Bayleton
- **中英文通用名**: 丙硫克百威 (Carbosulfan)，别名：克百威、呋喃丹,丙硫克百威,Carbosulfan,克百威、呋喃丹
- **中英文通用名**: 丙硫唑 (Propiconazole)，别名：百菌清、百秀,丙硫唑,Propiconazole,百菌清、百秀
- **中英文通用名**: 丙硫磷 (Phosmet)，别名：灭线磷、普洛赛特,丙硫磷,Phosmet,灭线磷、普洛赛特
- **中英文通用名**: 丙硫菌唑 (Prothioconazole)，别名：普罗硫菌唑,丙硫菌唑,Prothioconazole,普罗硫菌唑
- **中英文通用名**: 丙苯磺隆 (Bensulfuron-methyl)，常见别名有农得时、农得利,丙苯磺隆,Bensulfuron-methyl,农得时、农得利
- **中英文通用名**: 丙草胺 (Propanil)，别名：稻草宁、稻田净,丙草胺,Propanil,稻草宁、稻田净
"- **中英文通用名**: 丙酯草醚 (Pyrifenox), 别名：无",丙酯草醚,Pyrifenox,
**中英文通用名**: 丙酰芸苔素内酯 (Brassinolide Propionate)，别名：丙酰芸苔内酯,丙酰芸苔素内酯,Brassinolide Propionate,丙酰芸苔内酯
- **中英文通用名**: 久效磷 (Phoxim)，别名：克百威、氧乐果,久效磷,Phoxim,克百威、氧乐果
- **中英文通用名**: 乐果 (Dimethoate)，别名：灭蚜威、蚜灭多,乐果,Dimethoate,灭蚜威、蚜灭多
- **中英文通用名**: 乙唑螨腈 (Biflufenzin)，别名：无,乙唑螨腈,Biflufenzin,
- **中英文通用名**: 乙嘧酚 (Ethirimol)，别名：乙嘧醇、乙基嘧啶醇,乙嘧酚,Ethirimol,乙嘧醇、乙基嘧啶醇
- **中英文通用名**: 乙嘧酚磺酸酯 (Ethirimol Sulfonate)，别名：乙嘧酚、乙嘧醇,乙嘧酚磺酸酯,Ethirimol Sulfonate,乙嘧酚、乙嘧醇
- **中英文通用名**: 乙基多杀菌素 (Spinetoram)，别名：乙基多杀霉素,乙基多杀菌素,Spinetoram,乙基多杀霉素
- **中英文通用名**: 乙基谷硫磷 (Ethion)，别名：谷硫磷乙酯,乙基谷硫磷,Ethion,谷硫磷乙酯
- **中英文通用名**: 乙拌磷 (Disulfoton)，别名：二硫威、二硫磷,乙拌磷,Disulfoton,二硫威、二硫磷
- **中英文通用名**: 乙氧呋草黄 (Ethoxyfen)；别名：无,乙氧呋草黄,Ethoxyfen,
- **中英文通用名**: 乙氧嘧磺隆 (Ethoxysulfuron)，别名：乙氧磺隆,乙氧嘧磺隆,Ethoxysulfuron,乙氧磺隆
- **中英文通用名**: 乙氧氟草醚 (Ethoxyfen)；别名：氟草醚,乙氧氟草醚,Ethoxyfen,氟草醚
- **中英文通用名**: 乙氧磺隆 (Ethoxysulfuron)，别名：乙氧磺胺隆,乙氧磺隆,Ethoxysulfuron,乙氧磺胺隆
- **中英文通用名**: 乙氧苯草胺 (Ethoxyfen)；别名：无,乙氧苯草胺,Ethoxyfen,
- **中英文通用名**: 乙氰菊酯 (Bifenthrin)，别名：双苯氰菊酯,乙氰菊酯,Bifenthrin,双苯氰菊酯
- **中英文通用名**: 乙烯利 (Ethephon)，别名：催熟剂、乙烯利水剂,乙烯利,Ethephon,催熟剂、乙烯利水剂
"- **中英文通用名**: 乙烯菌核利 (Ethylenebiphenyl), 别名：速克灵、农利灵",乙烯菌核利,Ethylenebiphenyl,速克灵、农利灵
- **中英文通用名**: 乙硫磷 (Ethion)，别名：乙基硫代磷酸酯,乙硫磷,Ethion,乙基硫代磷酸酯
- **中英文通用名**: 乙硫苯威 (Ethiofencarb)，别名：乙硫苯威、乙硫苯胺,乙硫苯威,Ethiofencarb,乙硫苯胺
- **中英文通用名**: 乙羧氟草醚 (Flumioxazin)，别名：氟草醚,乙羧氟草醚,Flumioxazin,氟草醚
- **中英文通用名**: 乙草胺 (Atrazine)，别名：莠去津、阿特拉津,乙草胺,Atrazine,莠去津、阿特拉津
- **中英文通用名**: 乙蒜素 (Allitridum)，别名：大蒜素,乙蒜素,Allitridum,大蒜素
- **中英文通用名**: 乙虫腈 (Ethiprole)，别名：氟虫腈,乙虫腈,Ethiprole,氟虫腈
- **中英文通用名**: 乙螨唑 (Bifenazate)，别名：螨危,乙螨唑,Bifenazate,螨危
- **中英文通用名**: 乙酰甲胺磷 (Acephate)，常见别名有灭蚜磷、安福丁等,乙酰甲胺磷,Acephate,灭蚜磷、安福丁等
"**中英文通用名**: 乙酸铜 (Cupric Acetate, Copper Acetate)，常见别名有醋酸铜、铜醋酸盐",乙酸铜,Cupric Acetate,Copper Acetate、醋酸铜、铜醋酸盐
- **中英文通用名**: 乙霉威 (Ethirimol)，别名：乙嘧酚、乙嘧醇,乙霉威,Ethirimol,乙嘧酚、乙嘧醇
- **中英文通用名**: 乳氟禾草灵 (Fluazifop-p-butyl)，常见别名：氟乐灵、禾草克,乳氟禾草灵,Fluazifop-p-butyl,氟乐灵、禾草克
- **中英文通用名**: 二嗪磷 (Disulfoton)，常见别名有：迪斯丰农、二硫磷,二嗪磷,Disulfoton,迪斯丰农、二硫磷
- **中英文通用名**: 二噻农 (Dithianon)，别名：百菌清,二噻农,Dithianon,百菌清
"**中英文通用名**: 二氧代螺十一烷 (Dioctadecyl dimethyl ammonium chloride, DDDAC)",二氧代螺十一烷,Dioctadecyl dimethyl ammonium chloride,DDDAC
"- **中英文通用名**: 二氯吡啶酸 (Dichlorpyridine acid)，别名：2,4-Dichlorophenoxyacetic acid (2,4-D)",二氯吡啶酸,Dichlorpyridine acid,"2、4-Dichlorophenoxyacetic acid (2,4-D)"
"- **中英文通用名**: 二氯喹啉草酮 (Dichloroquinone), 常见别名：DCQ",二氯喹啉草酮,Dichloroquinone,DCQ
- **中英文通用名**: 二氯喹啉酸 (Dichloroquinoline acid)，别名：稻瘟灵 (Quinoclamine),二氯喹啉酸,Dichloroquinoline acid,稻瘟灵 (Quinoclamine)
- **中英文通用名**: 二氯异噁草酮 (Dichlorisoxazone)，别名：无,二氯异噁草酮,Dichlorisoxazone,
"- **中英文通用名**: 二氯异氰尿酸钠 (Sodium dichloroisocyanurate, 简称SDIC)，别名：优氯净",二氯异氰尿酸钠,Sodium dichloroisocyanurate,简称SDIC、优氯净
- **中英文通用名**: 二氰蒽醌 (Dicyan anthraquinone)，别名：DCQ,二氰蒽醌,Dicyan anthraquinone,DCQ
"- **中英文通用名**: 二溴乙烷 (Ethylene dibromide, EDB)，别名：1,2-二溴乙烷",二溴乙烷,Ethylene dibromide,EDB、1、2-二溴乙烷
- **中英文通用名**: 二溴磷 (Dibromophos)，别名：二溴磷、DBP,二溴磷,Dibromophos,DBP
- **中英文通用名**: 二甲吩草胺-P (Dimethenamid-P)，别名：Pendimethalin-P,二甲吩草胺-P,Dimethenamid-P,Pendimethalin-P
- **中英文通用名**: 二甲噻草胺 (Dimethenamid),二甲噻草胺,Dimethenamid,
"- **中英文通用名**: 二甲基胂酸 (Dimethylarsinic acid, DMA)",二甲基胂酸,Dimethylarsinic acid,DMA
- **中英文通用名**: 二甲戊灵 (Pendimethalin)，别名：施田补、普杀特,二甲戊灵,Pendimethalin,施田补、普杀特
"- **中英文通用名**: 二硝酚 (Dinitrophenol, DNP)，常见别名有2,4-二硝基酚",二硝酚,Dinitrophenol,DNP、2、4-二硝基酚
"- **中英文通用名**: 二苯胺 (Diphenylamine, DPA)",二苯胺,Diphenylamine,DPA
- **中英文通用名**: 五氟磺草胺 (Pentoxazone)，别名：无,五氟磺草胺,Pentoxazone,
"- **中英文通用名**: 五氯硝基苯 (Pentachloronitrobenzene, PCNB)",五氯硝基苯,Pentachloronitrobenzene,PCNB
"- **中英文通用名**: 五氯苯酚 (Pentachlorophenol, PCP), 常见别名有五氯酚、五氯酚钠",五氯苯酚,Pentachlorophenol,PCP、五氯酚、五氯酚钠
- **中英文通用名**: 井冈霉素A (Jinggangmycin A)，别名：井岗霉素、井冈霉素,井冈霉素A,Jinggangmycin A,井岗霉素、井冈霉素
- **中英文通用名**: 亚砜磷 (Azinphos-methyl)，别名：甲基亚砜磷,亚砜磷,Azinphos-methyl,甲基亚砜磷
- **中英文通用名**: 亚胺硫磷 (Imidacloprid)；常见别名：益达胺、蚜灭多,亚胺硫磷,Imidacloprid,益达胺、蚜灭多
- **中英文通用名**: 代森联 (Dithane)；常见别名：百菌清、多菌灵,代森联,Dithane,百菌清、多菌灵
- **中英文通用名**: 代森钠 (Sodium Dimethyldithiocarbamate)，常见别名有福美钠、代森锌钠,代森钠,Sodium Dimethyldithiocarbamate,福美钠、代森锌钠
- **中英文通用名**: 代森锌 (Zineb)，别名：锌锰代森、代森锌锰,代森锌,Zineb,锌锰代森、代森锌锰
"- **中英文通用名**: 代森锰 (Mancozeb)，常见别名包括 Manzate, Dithane, Fore, Penncozeb",代森锰,Mancozeb,Manzate、Dithane、Fore、Penncozeb
- **中英文通用名**: 代森锰锌 (Mancozeb)，别名：猛杀必、喷克、多保净,代森锰锌,Mancozeb,猛杀必、喷克、多保净
"- **中英文通用名**: 仲丁威 (Ziram), 别名：二甲基二硫代氨基甲酸仲丁酯",仲丁威,Ziram,二甲基二硫代氨基甲酸仲丁酯
- **中英文通用名**: 仲丁灵 (Carbetamide)，别名：克草灵,仲丁灵,Carbetamide,克草灵
- **中英文通用名**: 仲丁灵 (Butralin)，别名：丁草灵,仲丁灵,Butralin,丁草灵
- **中英文通用名**: 伏杀硫磷 (Fenthion)，别名：杀螟松、灭蚜磷,伏杀硫磷,Fenthion,杀螟松、灭蚜磷
- **中英文通用名**: 伏杀磷 (Fenthion)，别名：杀螟松、灭蚜磷,伏杀磷,Fenthion,杀螟松、灭蚜磷
- **中英文通用名**: 伏虫隆 (Fenoxycarb)，别名：伏虫脲、伏虫灵,伏虫隆,Fenoxycarb,伏虫脲、伏虫灵
- **中英文通用名**: 伐虫脒 (Amidoflumet)，别名：氟螨酯,伐虫脒,Amidoflumet,氟螨酯
- **中英文通用名**: 依维菌素 (Ivermectin)，常见别名：阿维菌素B1a,依维菌素,Ivermectin,阿维菌素B1a
- **中英文通用名**: 倍硫磷 (Fenthion)，别名：芬硫磷、芬硫磷酯,倍硫磷,Fenthion,芬硫磷、芬硫磷酯
"- **中英文通用名**: 克瘟散 (Kresoxim-methyl, 商品名：百菌清)",克瘟散,Kresoxim-methyl,百菌清
- **中英文通用名**: 克百威 (Carbofuran)，别名：呋喃丹 (Furadan),克百威,Carbofuran,呋喃丹 (Furadan)
"- **中英文通用名**: 克草胺 (Clodinafop), 别名：麦极",克草胺,Clodinafop,麦极
- **中英文通用名**: 克菌丹 (Captan)，别名：百菌清,克菌丹,Captan,百菌清
"**中英文通用名**: 八氯二丙醚 (Octachlorodipropyl ether, ODE), 常见别名：八氯醚",八氯二丙醚,Octachlorodipropyl ether,ODE、八氯醚
"- **中英文通用名**: 六氯苯 (Hexachlorobenzene, HCB)",六氯苯,Hexachlorobenzene,HCB
**中英文通用名**: 冠菌素 (Coronatine)，别名：冠状霉素,冠菌素,Coronatine,冠状霉素
"**中英文通用名**: 几丁寡糖素醋酸盐 (Chitosan Acetate, 常见别名：壳寡糖醋酸盐)",几丁寡糖素醋酸盐,Chitosan Acetate,常见别名:壳寡糖醋酸盐
- **中英文通用名**: 利谷隆 (Linuron),利谷隆,Linuron,
- **中英文通用名**: 十三吗啉 (Tetradecylmorpholine)，别名：十四烷基吗啉,十三吗啉,Tetradecylmorpholine,十四烷基吗啉
"**中英文通用名**: 十二碳-8, 10-二烯基乙酸酯 (Dodec-8,10-dienyl acetate)","十二碳-8, 10-二烯基乙酸酯",10-dienyl acetate,Dodec-8
- **中英文通用名**: 十二碳-9-烯基乙酸酯 (Dodec-9-enyl acetate)，别名：十二烯基乙酸酯,十二碳-9-烯基乙酸酯,Dodec-9-enyl acetate,十二烯基乙酸酯
"**中英文通用名**: 十六烯醛 (Hexadecenal, 16-Hexadecenal)",十六烯醛,16-Hexadecenal,Hexadecenal
**中英文通用名**: 十六碳二烯醛 (Hexadecadienal)，别名：16:2 醛,十六碳二烯醛,Hexadecadienal,16:2 醛
**中英文通用名**: 十六碳-11-烯基乙酸酯 (Hexadec-11-enyl acetate),十六碳-11-烯基乙酸酯,Hexadec-11-enyl acetate,
"**中英文通用名**: 十四碳-9, 11-二烯基乙酸酯 (Tetradec-9,11-dienyl acetate)","十四碳-9, 11-二烯基乙酸酯",11-dienyl acetate,Tetradec-9
**中英文通用名**: 十四碳-11-烯基乙酸酯 (Tetradec-11-enyl acetate)，别名：11-十四碳烯基乙酸酯,十四碳-11-烯基乙酸酯,Tetradec-11-enyl acetate,11-十四碳烯基乙酸酯
"- **中英文通用名**: 单嘧磺酯 (Monosulfuron), 常见别名：无",单嘧磺酯,Monosulfuron,
"- **中英文通用名**: 单嘧磺隆 (Monosulfuron), 常见别名：无",单嘧磺隆,Monosulfuron,
- **中英文通用名**: 单甲脒盐酸盐 (Monocrotophos Hydrochloride)，别名：单甲磷、单甲胺磷,单甲脒盐酸盐,Monocrotophos Hydrochloride,单甲磷、单甲胺磷
- **中英文通用名**: 卞草隆 (Bensulide)，别名：扑草净,卞草隆,Bensulide,扑草净
- **中英文通用名**: 卡啶菌酯 (Carbendazim)，别名：苯并咪唑-4-甲酸甲酯,卡啶菌酯,Carbendazim,苯并咪唑-4-甲酸甲酯
- **中英文通用名**: 卡草灵 (Carfentrazone-ethyl)，别名：乙氧氟草醚,卡草灵,Carfentrazone-ethyl,乙氧氟草醚
- **中英文通用名**: 卡草胺 (Carfentrazone-ethyl)，别名：氟磺胺草醚,卡草胺,Carfentrazone-ethyl,氟磺胺草醚
- **中英文通用名**: 印楝素 (Azadirachtin)，别名：阿扎迪拉克汀,印楝素,Azadirachtin,阿扎迪拉克汀
- **中英文通用名**: 双三氟虫脲 (Bistrifluron)，别名：无,双三氟虫脲,Bistrifluron,
"- **中英文通用名**: 双丙环虫酯 (Clopidol), 别名：蚜灭多、蚜螨净",双丙环虫酯,Clopidol,蚜灭多、蚜螨净
- **中英文通用名**: 双唑草腈 (Bispyribac-sodium)，别名：稻喜、稻杰,双唑草腈,Bispyribac-sodium,稻喜、稻杰
- **中英文通用名**: 双唑草酮 (Bispyribac-sodium)，别名：稻喜,双唑草酮,Bispyribac-sodium,稻喜
- **中英文通用名**: 双氟磺草胺 (Florasulam)，别名：无,双氟磺草胺,Florasulam,
- **中英文通用名**: 双氯磺草胺 (Bensulfuron-methyl)，别名：苯磺隆甲酯,双氯磺草胺,Bensulfuron-methyl,苯磺隆甲酯
"- **中英文通用名**: 双氯酚 (Dichlorophen), 常见别名：2,4-二氯酚",双氯酚,Dichlorophen,2、4-二氯酚
- **中英文通用名**: 双炔酰菌胺 (Boscalid)，别名：百克、百克威,双炔酰菌胺,Boscalid,百克、百克威
- **中英文通用名**: 双环磺草酮 (Bicyclopyrone)，别名：无,双环磺草酮,Bicyclopyrone,
- **中英文通用名**: 双甲脒 (Amidithion)，别名：螨克、螨死净,双甲脒,Amidithion,螨克、螨死净
- **中英文通用名**: 双硫磷 (Disulfoton)，别名：二硫代磷酸二乙酯,双硫磷,Disulfoton,二硫代磷酸二乙酯
**中英文通用名**: 双胍三辛烷基苯磺酸盐 (Bisguanidinium tris(octylphenyl) sulfonate)，别名：百草枯替代品,双胍三辛烷基苯磺酸盐,Bisguanidinium tris(octylphenyl) sulfonate,百草枯替代品
- **中英文通用名**: 双胍辛盐 (Bisguanidine Hydrochloride)，别名：双胍盐、双胍氯化物,双胍辛盐,Bisguanidine Hydrochloride,双胍盐、双胍氯化物
- **中英文通用名**: 双胍辛胺 (Bisguanidine),双胍辛胺,Bisguanidine,
"**中英文通用名**: 双苯噁唑酸乙酯 (Ethyl 2,6-diphenyl-1,4-dioxazin-3-carboxylate)",双苯噁唑酸乙酯,4-dioxazin-3-carboxylate,Ethyl 2、6-diphenyl-1
- **中英文通用名**: 双草醚 (Bispyribac-sodium)，别名：稻喜,双草醚,Bispyribac-sodium,稻喜
- **中英文通用名**: 双酰草胺 (Bispyribac-sodium)，别名：稻思达,双酰草胺,Bispyribac-sodium,稻思达
"- **中英文通用名**: 双醚氯吡嘧磺隆 (Chlorpyrifos-methyl), 常见别名：甲基氯吡磷、甲基毒死蜱",双醚氯吡嘧磺隆,Chlorpyrifos-methyl,甲基氯吡磷、甲基毒死蜱
- **中英文通用名**: 反-8-十二碳烯乙酸酯 (cis-8-Dodecenyl Acetate)，别名：顺-8-十二碳烯乙酸酯,反-8-十二碳烯乙酸酯,cis-8-Dodecenyl Acetate,顺-8-十二碳烯乙酸酯
- **中英文通用名**: 右旋反式氯丙炔菊酯 (Deltamethrin),右旋反式氯丙炔菊酯,Deltamethrin,
- **中英文通用名**: 右旋反式烯丙菊酯 (Deltamethrin),右旋反式烯丙菊酯,Deltamethrin,
- **中英文通用名**: 右旋烯丙菊酯 (Deltamethrin)，别名：德尔塔梅特林,右旋烯丙菊酯,Deltamethrin,德尔塔梅特林
- **中英文通用名**: 右旋烯炔菊酯 (Deltamethrin)，别名：德尔塔灭、德尔塔梅林,右旋烯炔菊酯,Deltamethrin,德尔塔灭、德尔塔梅林
- **中英文通用名**: 右旋胺菊酯 (Deltamethrin)，别名：德尔塔梅特林,右旋胺菊酯,Deltamethrin,德尔塔梅特林
- **中英文通用名**: 右旋苄呋菊酯 (Deltamethrin)，别名：德尔塔梅特林,右旋苄呋菊酯,Deltamethrin,德尔塔梅特林
- **中英文通用名**: 右旋苯醚氰菊酯 (Deltamethrin)，别名：德尔塔灭、德尔塔梅特林,右旋苯醚氰菊酯,Deltamethrin,德尔塔灭、德尔塔梅特林
- **中英文通用名**: 右旋苯醚菊酯 (Deltamethrin)，别名：德尔塔梅特林,右旋苯醚菊酯,Deltamethrin,德尔塔梅特林
- **中英文通用名**: 叶菌唑 (Isopyrazam)，别名：异吡唑胺,叶菌唑,Isopyrazam,异吡唑胺
- **中英文通用名**: 吗菌灵 (Myclobutanil)，常见别名：霉能灵,吗菌灵,Myclobutanil,霉能灵
- **中英文通用名**: 吡丙醚 (Pymetrozine)，别名：安打 (Admire),吡丙醚,Pymetrozine,安打 (Admire)
"- **中英文通用名**: 吡唑喹草酯 (Pyrifenox), 常见别名：无",吡唑喹草酯,Pyrifenox,
- **中英文通用名**: 吡唑氟磺草胺 (Pyrasulfotole)，别名：无,吡唑氟磺草胺,Pyrasulfotole,
- **中英文通用名**: 吡唑氨酯 (Pyraclostrobin)，常见别名：百克、银法利,吡唑氨酯,Pyraclostrobin,百克、银法利
- **中英文通用名**: 吡唑硫磷 (Pyraclofos)，别名：无,吡唑硫磷,Pyraclofos,
- **中英文通用名**: 吡唑草胺 (Pyrasulfotole)，别名：无,吡唑草胺,Pyrasulfotole,
- **中英文通用名**: 吡唑萘菌胺 (Pyraclostrobin)，别名：百克敏 (Bacimin),吡唑萘菌胺,Pyraclostrobin,百克敏 (Bacimin)
- **中英文通用名**: 吡唑解草酯 (Pyrasulfotole)，别名：无,吡唑解草酯,Pyrasulfotole,
- **中英文通用名**: 吡唑醚菌酯 (Pyraclostrobin)，别名：百克敏 (Bakemin),吡唑醚菌酯,Pyraclostrobin,百克敏 (Bakemin)
- **中英文通用名**: 吡啶呋虫胺 (Pyrifuramid)，别名：无,吡啶呋虫胺,Pyrifuramid,
- **中英文通用名**: 吡嘧磺隆 (Bensulfuron-methyl)，别名：农得时,吡嘧磺隆,Bensulfuron-methyl,农得时
- **中英文通用名**: 吡噻菌胺 (Pyraclostrobin)，别名：百泰、阿米西达,吡噻菌胺,Pyraclostrobin,百泰、阿米西达
- **中英文通用名**: 吡氟喹虫唑 (Piflufolastat)；常见别名：无,吡氟喹虫唑,Piflufolastat,
- **中英文通用名**: 吡氟禾草灵 (Pinoxaden)，别名：彪虎、彪马,吡氟禾草灵,Pinoxaden,彪虎、彪马
